time[s] ch1[V] ch2[V]
-4.095999999999999815e-03 -1.557958882282864943e+00 -1.189859057873405401e+00
-4.094999999999999682e-03 -1.554941031454667000e+00 -1.194608270123909577e+00
-4.093999999999999549e-03 -1.556617615248110376e+00 -1.194947499570374161e+00
-4.092999999999999416e-03 -1.555946981730732981e+00 -1.189859057873405401e+00
-4.092000000000000151e-03 -1.556617615248110376e+00 -1.193929811230980409e+00
-4.091000000000000018e-03 -1.552593814143846229e+00 -1.192912122891586657e+00
-4.089999999999999886e-03 -1.553264447661223402e+00 -1.187823681194617897e+00
-4.088999999999999753e-03 -1.555611664972044172e+00 -1.190876746212799153e+00
-4.087999999999999620e-03 -1.556617615248110376e+00 -1.195286729016838745e+00
-4.086999999999999487e-03 -1.555276348213355586e+00 -1.190537516766334569e+00
-4.086000000000000222e-03 -1.554941031454667000e+00 -1.193251352338051241e+00
-4.085000000000000089e-03 -1.554270397937289605e+00 -1.191894434552192905e+00
-4.083999999999999957e-03 -1.553264447661223402e+00 -1.190198287319869985e+00
-4.082999999999999824e-03 -1.557958882282864943e+00 -1.188502140087547065e+00
-4.081999999999999691e-03 -1.547564062763515880e+00 -1.198000564588555195e+00
-4.080999999999999558e-03 -1.556282298489421567e+00 -1.192572893445122073e+00
-4.079999999999999426e-03 -1.556617615248110376e+00 -1.192572893445122073e+00
-4.079000000000000160e-03 -1.552593814143846229e+00 -1.191555205105728321e+00
-4.078000000000000028e-03 -1.553599764419912210e+00 -1.190876746212799153e+00
-4.076999999999999895e-03 -1.555611664972044172e+00 -1.189859057873405401e+00
-4.075999999999999762e-03 -1.555276348213355586e+00 -1.192233663998657489e+00
-4.074999999999999629e-03 -1.556617615248110376e+00 -1.193251352338051241e+00
-4.073999999999999497e-03 -1.555276348213355586e+00 -1.193251352338051241e+00
-4.073000000000000231e-03 -1.554941031454667000e+00 -1.185109845622901448e+00
-4.072000000000000099e-03 -1.555276348213355586e+00 -1.190537516766334569e+00
-4.070999999999999966e-03 -1.554605714695978191e+00 -1.195286729016838745e+00
-4.069999999999999833e-03 -1.557288248765487548e+00 -1.191555205105728321e+00
-4.068999999999999700e-03 -1.558629515800242338e+00 -1.190537516766334569e+00
-4.067999999999999568e-03 -1.557958882282864943e+00 -1.198000564588555195e+00
-4.066999999999999435e-03 -1.553264447661223402e+00 -1.191215975659263737e+00
-4.066000000000000170e-03 -1.556282298489421567e+00 -1.189859057873405401e+00
-4.065000000000000037e-03 -1.555276348213355586e+00 -1.192233663998657489e+00
-4.063999999999999904e-03 -1.554270397937289605e+00 -1.192572893445122073e+00
-4.062999999999999771e-03 -1.557288248765487548e+00 -1.193929811230980409e+00
-4.061999999999999639e-03 -1.555611664972044172e+00 -1.189859057873405401e+00
-4.060999999999999506e-03 -1.555611664972044172e+00 -1.193590581784515825e+00
-4.060000000000000241e-03 -1.555276348213355586e+00 -1.191215975659263737e+00
-4.059000000000000108e-03 -1.554270397937289605e+00 -1.191894434552192905e+00
-4.057999999999999975e-03 -1.557623565524176357e+00 -1.193590581784515825e+00
-4.056999999999999842e-03 -1.557288248765487548e+00 -1.191555205105728321e+00
-4.055999999999999710e-03 -1.557288248765487548e+00 -1.189180598980476233e+00
-4.054999999999999577e-03 -1.556282298489421567e+00 -1.186466763408759784e+00
-4.053999999999999444e-03 -1.553935081178600797e+00 -1.192233663998657489e+00
-4.053000000000000179e-03 -1.555276348213355586e+00 -1.189859057873405401e+00
-4.052000000000000046e-03 -1.558294199041553751e+00 -1.193590581784515825e+00
-4.050999999999999913e-03 -1.556282298489421567e+00 -1.192912122891586657e+00
-4.049999999999999781e-03 -1.556282298489421567e+00 -1.191555205105728321e+00
-4.048999999999999648e-03 -1.555611664972044172e+00 -1.192912122891586657e+00
-4.047999999999999515e-03 -1.558294199041553751e+00 -1.191555205105728321e+00
