time[s] ch1[V] ch2[V]
-4.046000000000000117e-03 -2.203803318737173889e-01 -1.711530301402815479e-01
-4.044999999999999984e-03 -2.244041329779815630e-01 -1.697961123544232398e-01
-4.043999999999999852e-03 -2.200450151150286915e-01 -1.565661639423047424e-01
-4.042999999999999719e-03 -2.210509653910947558e-01 -1.677607356756357637e-01
-4.041999999999999586e-03 -2.203803318737173889e-01 -1.694568829079586558e-01
-4.040999999999999454e-03 -2.190390648389626549e-01 -1.850614374453291855e-01
-4.040000000000000188e-03 -2.247394497366702326e-01 -1.708138006938169640e-01
-4.039000000000000055e-03 -2.217215989084720951e-01 -1.691176534614940719e-01
-4.037999999999999923e-03 -2.213862821497834255e-01 -1.687784240150295156e-01
-4.036999999999999790e-03 -2.220569156671607924e-01 -1.691176534614940719e-01
-4.035999999999999657e-03 -2.210509653910947558e-01 -1.718314890332106881e-01
-4.034999999999999525e-03 -2.197096983563400219e-01 -1.674215062291712075e-01
-4.033999999999999392e-03 -2.197096983563400219e-01 -1.691176534614940719e-01
-4.033000000000000126e-03 -2.227275491845381594e-01 -1.674215062291712075e-01
-4.031999999999999994e-03 -2.207156486324060585e-01 -1.684391945685649317e-01
-4.030999999999999861e-03 -2.237334994606041960e-01 -1.708138006938169640e-01
-4.029999999999999728e-03 -2.213862821497834255e-01 -1.684391945685649317e-01
-4.028999999999999596e-03 -2.203803318737173889e-01 -1.704745712473523800e-01
-4.027999999999999463e-03 -2.247394497366702326e-01 -1.714922595867461319e-01
-4.027000000000000197e-03 -2.210509653910947558e-01 -1.674215062291712075e-01
-4.026000000000000065e-03 -2.220569156671607924e-01 -1.694568829079586558e-01
-4.024999999999999932e-03 -2.217215989084720951e-01 -1.680999651221003477e-01
-4.023999999999999799e-03 -2.233981827019154986e-01 -1.691176534614940719e-01
-4.022999999999999667e-03 -2.223922324258494621e-01 -1.667430473362420396e-01
-4.021999999999999534e-03 -2.233981827019154986e-01 -1.691176534614940719e-01
-4.020999999999999401e-03 -2.200450151150286915e-01 -1.657253589968483154e-01
-4.020000000000000136e-03 -2.230628659432268290e-01 -1.708138006938169640e-01
-4.019000000000000003e-03 -2.210509653910947558e-01 -1.697961123544232398e-01
-4.017999999999999870e-03 -2.220569156671607924e-01 -1.680999651221003477e-01
-4.016999999999999738e-03 -2.210509653910947558e-01 -1.670822767827066235e-01
-4.015999999999999605e-03 -2.223922324258494621e-01 -1.718314890332106881e-01
-4.014999999999999472e-03 -2.193743815976513523e-01 -1.752237834978564723e-01
-4.014000000000000207e-03 -2.223922324258494621e-01 -1.680999651221003477e-01
-4.013000000000000074e-03 -2.203803318737173889e-01 -1.704745712473523800e-01
-4.011999999999999941e-03 -2.223922324258494621e-01 -1.714922595867461319e-01
-4.010999999999999809e-03 -2.227275491845381594e-01 -1.664038178897774556e-01
-4.009999999999999676e-03 -2.230628659432268290e-01 -1.680999651221003477e-01
-4.008999999999999543e-03 -2.223922324258494621e-01 -1.670822767827066235e-01
-4.007999999999999410e-03 -2.213862821497834255e-01 -1.694568829079586558e-01
-4.007000000000000145e-03 -2.203803318737173889e-01 -1.728491773726044400e-01
-4.006000000000000012e-03 -2.227275491845381594e-01 -1.701353418008878238e-01
-4.004999999999999880e-03 -2.197096983563400219e-01 -1.691176534614940719e-01
-4.003999999999999747e-03 -2.264160335301136362e-01 -1.704745712473523800e-01
-4.002999999999999614e-03 -2.190390648389626549e-01 -1.687784240150295156e-01
-4.001999999999999481e-03 -2.227275491845381594e-01 -1.694568829079586558e-01
-4.001000000000000216e-03 -2.210509653910947558e-01 -1.650469001039191752e-01
-4.000000000000000083e-03 -2.260807167714249666e-01 -1.731884068190689963e-01
-3.998999999999999951e-03 -2.210509653910947558e-01 -1.718314890332106881e-01
-3.997999999999999818e-03 -2.223922324258494621e-01 -1.677607356756357637e-01
-3.996999999999999685e-03 -2.193743815976513523e-01 -1.680999651221003477e-01
-3.995999999999999552e-03 -2.223922324258494621e-01 -1.714922595867461319e-01
-3.994999999999999420e-03 -2.200450151150286915e-01 -1.687784240150295156e-01
-3.994000000000000154e-03 -2.207156486324060585e-01 -1.677607356756357637e-01
-3.993000000000000022e-03 -2.227275491845381594e-01 -1.714922595867461319e-01
-3.991999999999999889e-03 -2.230628659432268290e-01 -1.687784240150295156e-01
-3.990999999999999756e-03 -2.233981827019154986e-01 -1.674215062291712075e-01
-3.989999999999999623e-03 -2.210509653910947558e-01 -1.697961123544232398e-01
-3.988999999999999491e-03 -2.197096983563400219e-01 -1.677607356756357637e-01
-3.988000000000000225e-03 -2.187037480802739853e-01 -1.691176534614940719e-01
-3.987000000000000093e-03 -2.240688162192928656e-01 -1.704745712473523800e-01
-3.985999999999999960e-03 -2.197096983563400219e-01 -1.687784240150295156e-01
-3.984999999999999827e-03 -2.210509653910947558e-01 -1.674215062291712075e-01
-3.983999999999999694e-03 -2.227275491845381594e-01 -1.711530301402815479e-01
-3.982999999999999562e-03 -2.203803318737173889e-01 -1.711530301402815479e-01
-3.981999999999999429e-03 -2.176977978042079487e-01 -1.653861295503837314e-01
-3.981000000000000164e-03 -2.213862821497834255e-01 -1.704745712473523800e-01
-3.980000000000000031e-03 -2.220569156671607924e-01 -1.714922595867461319e-01
-3.978999999999999898e-03 -2.244041329779815630e-01 -1.684391945685649317e-01
-3.977999999999999765e-03 -2.203803318737173889e-01 -1.670822767827066235e-01
-3.976999999999999633e-03 -2.217215989084720951e-01 -1.701353418008878238e-01
-3.975999999999999500e-03 -2.197096983563400219e-01 -1.684391945685649317e-01
-3.975000000000000235e-03 -2.250747664953589022e-01 -1.704745712473523800e-01
-3.974000000000000102e-03 -2.358049027733966907e-01 -1.630115234251316991e-01
-3.972999999999999969e-03 -2.210509653910947558e-01 -1.677607356756357637e-01
-3.971999999999999836e-03 -2.237334994606041960e-01 -1.687784240150295156e-01
-3.970999999999999704e-03 -2.207156486324060585e-01 -1.687784240150295156e-01
-3.969999999999999571e-03 -2.240688162192928656e-01 -1.697961123544232398e-01
-3.968999999999999438e-03 -2.233981827019154986e-01 -1.711530301402815479e-01
-3.968000000000000173e-03 -2.213862821497834255e-01 -1.708138006938169640e-01
-3.967000000000000040e-03 -2.183684313215852879e-01 -1.714922595867461319e-01
-3.965999999999999907e-03 -2.217215989084720951e-01 -1.660645884433128994e-01
-3.964999999999999775e-03 -2.230628659432268290e-01 -1.714922595867461319e-01
-3.963999999999999642e-03 -2.197096983563400219e-01 -1.718314890332106881e-01
-3.962999999999999509e-03 -2.210509653910947558e-01 -1.674215062291712075e-01
-3.962000000000000244e-03 -2.227275491845381594e-01 -1.694568829079586558e-01
-3.961000000000000111e-03 -2.200450151150286915e-01 -1.548700167099818503e-01
-3.959999999999999978e-03 -2.220569156671607924e-01 -1.687784240150295156e-01
-3.958999999999999846e-03 -2.203803318737173889e-01 -1.704745712473523800e-01
-3.957999999999999713e-03 -2.176977978042079487e-01 -1.742060951584627204e-01
-3.956999999999999580e-03 -2.213862821497834255e-01 -1.684391945685649317e-01
-3.955999999999999447e-03 -2.217215989084720951e-01 -1.708138006938169640e-01
-3.955000000000000182e-03 -2.197096983563400219e-01 -1.677607356756357637e-01
-3.954000000000000049e-03 -2.220569156671607924e-01 -1.691176534614940719e-01
-3.952999999999999917e-03 -2.210509653910947558e-01 -1.694568829079586558e-01
-3.951999999999999784e-03 -2.203803318737173889e-01 -1.711530301402815479e-01
-3.950999999999999651e-03 -2.213862821497834255e-01 -1.725099479261398561e-01
-3.949999999999999518e-03 -2.213862821497834255e-01 -1.660645884433128994e-01
-3.949000000000000253e-03 -2.220569156671607924e-01 -1.677607356756357637e-01
-3.948000000000000120e-03 -2.220569156671607924e-01 -1.714922595867461319e-01
-3.946999999999999988e-03 -2.220569156671607924e-01 -1.691176534614940719e-01
-3.945999999999999855e-03 -2.217215989084720951e-01 -1.674215062291712075e-01
-3.944999999999999722e-03 -2.207156486324060585e-01 -1.694568829079586558e-01
-3.943999999999999589e-03 -2.244041329779815630e-01 -1.677607356756357637e-01
-3.942999999999999457e-03 -2.210509653910947558e-01 -1.670822767827066235e-01
-3.942000000000000191e-03 -2.193743815976513523e-01 -1.701353418008878238e-01
-3.941000000000000059e-03 -2.130033631825664076e-01 -1.535130989241235422e-01
-3.939999999999999926e-03 -2.230628659432268290e-01 -1.708138006938169640e-01
-3.938999999999999793e-03 -2.237334994606041960e-01 -1.718314890332106881e-01
-3.937999999999999660e-03 -2.227275491845381594e-01 -1.694568829079586558e-01
-3.936999999999999528e-03 -2.227275491845381594e-01 -1.687784240150295156e-01
-3.935999999999999395e-03 -2.223922324258494621e-01 -1.691176534614940719e-01
-3.935000000000000130e-03 -2.210509653910947558e-01 -1.711530301402815479e-01
-3.933999999999999997e-03 -2.244041329779815630e-01 -1.718314890332106881e-01
-3.932999999999999864e-03 -2.217215989084720951e-01 -1.667430473362420396e-01
-3.931999999999999731e-03 -2.200450151150286915e-01 -1.725099479261398561e-01
-3.930999999999999599e-03 -2.213862821497834255e-01 -1.691176534614940719e-01
-3.929999999999999466e-03 -2.187037480802739853e-01 -1.674215062291712075e-01
-3.929000000000000201e-03 -2.233981827019154986e-01 -1.708138006938169640e-01
-3.928000000000000068e-03 -2.233981827019154986e-01 -1.691176534614940719e-01
-3.926999999999999935e-03 -2.203803318737173889e-01 -1.691176534614940719e-01
-3.925999999999999802e-03 -2.220569156671607924e-01 -1.667430473362420396e-01
-3.924999999999999670e-03 -2.227275491845381594e-01 -1.701353418008878238e-01
-3.923999999999999537e-03 -2.207156486324060585e-01 -1.670822767827066235e-01
-3.922999999999999404e-03 -2.187037480802739853e-01 -1.714922595867461319e-01
-3.922000000000000139e-03 -2.230628659432268290e-01 -1.694568829079586558e-01
-3.921000000000000006e-03 -2.237334994606041960e-01 -1.711530301402815479e-01
-3.919999999999999873e-03 -2.193743815976513523e-01 -1.691176534614940719e-01
-3.918999999999999741e-03 -2.203803318737173889e-01 -1.674215062291712075e-01
-3.917999999999999608e-03 -2.223922324258494621e-01 -1.711530301402815479e-01
-3.916999999999999475e-03 -2.250747664953589022e-01 -1.677607356756357637e-01
-3.916000000000000210e-03 -2.210509653910947558e-01 -1.718314890332106881e-01
-3.915000000000000077e-03 -2.213862821497834255e-01 -1.728491773726044400e-01
-3.913999999999999944e-03 -2.130033631825664076e-01 -1.643684412109900073e-01
-3.912999999999999812e-03 -2.193743815976513523e-01 -1.708138006938169640e-01
-3.911999999999999679e-03 -2.223922324258494621e-01 -1.738668657119981642e-01
-3.910999999999999546e-03 -2.227275491845381594e-01 -1.711530301402815479e-01
-3.909999999999999414e-03 -2.217215989084720951e-01 -1.718314890332106881e-01
-3.909000000000000148e-03 -2.190390648389626549e-01 -1.440146744231154130e-01
-3.908000000000000015e-03 -2.187037480802739853e-01 -1.704745712473523800e-01
-3.906999999999999883e-03 -2.250747664953589022e-01 -1.721707184796752721e-01
-3.905999999999999750e-03 -2.230628659432268290e-01 -1.630115234251316991e-01
-3.904999999999999617e-03 -2.230628659432268290e-01 -1.694568829079586558e-01
-3.903999999999999918e-03 -2.183684313215852879e-01 -1.684391945685649317e-01
-3.902999999999999785e-03 -2.220569156671607924e-01 -1.687784240150295156e-01
-3.901999999999999653e-03 -2.223922324258494621e-01 -1.701353418008878238e-01
-3.900999999999999954e-03 -2.227275491845381594e-01 -1.697961123544232398e-01
-3.899999999999999821e-03 -2.244041329779815630e-01 -1.664038178897774556e-01
-3.898999999999999688e-03 -2.220569156671607924e-01 -1.731884068190689963e-01
-3.897999999999999989e-03 -2.237334994606041960e-01 -1.684391945685649317e-01
-3.896999999999999856e-03 -2.203803318737173889e-01 -1.650469001039191752e-01
-3.895999999999999724e-03 -2.200450151150286915e-01 -1.680999651221003477e-01
-3.895000000000000025e-03 -2.163565307694532147e-01 -1.677607356756357637e-01
-3.893999999999999892e-03 -2.254100832540475996e-01 -1.697961123544232398e-01
-3.892999999999999759e-03 -2.230628659432268290e-01 -1.708138006938169640e-01
-3.891999999999999627e-03 -2.237334994606041960e-01 -1.701353418008878238e-01
-3.890999999999999927e-03 -2.227275491845381594e-01 -1.684391945685649317e-01
-3.889999999999999795e-03 -2.197096983563400219e-01 -1.711530301402815479e-01
-3.888999999999999662e-03 -2.230628659432268290e-01 -1.697961123544232398e-01
-3.887999999999999963e-03 -2.210509653910947558e-01 -1.680999651221003477e-01
-3.886999999999999830e-03 -2.233981827019154986e-01 -1.633507528715962831e-01
-3.885999999999999698e-03 -2.213862821497834255e-01 -1.711530301402815479e-01
-3.884999999999999998e-03 -2.227275491845381594e-01 -1.680999651221003477e-01
-3.883999999999999866e-03 -2.210509653910947558e-01 -1.697961123544232398e-01
-3.882999999999999733e-03 -2.193743815976513523e-01 -1.670822767827066235e-01
-3.882000000000000034e-03 -2.223922324258494621e-01 -1.708138006938169640e-01
-3.880999999999999901e-03 -2.197096983563400219e-01 -1.664038178897774556e-01
-3.879999999999999769e-03 -2.210509653910947558e-01 -1.721707184796752721e-01
-3.878999999999999636e-03 -2.217215989084720951e-01 -1.677607356756357637e-01
-3.877999999999999937e-03 -2.207156486324060585e-01 -1.664038178897774556e-01
-3.876999999999999804e-03 -2.207156486324060585e-01 -1.711530301402815479e-01
-3.875999999999999671e-03 -2.210509653910947558e-01 -1.667430473362420396e-01
-3.874999999999999972e-03 -2.203803318737173889e-01 -1.677607356756357637e-01
-3.873999999999999840e-03 -2.254100832540475996e-01 -1.711530301402815479e-01
-3.872999999999999707e-03 -2.220569156671607924e-01 -1.735276362655335802e-01
-3.872000000000000008e-03 -2.207156486324060585e-01 -1.680999651221003477e-01
-3.870999999999999875e-03 -2.250747664953589022e-01 -1.680999651221003477e-01
-3.869999999999999742e-03 -2.096501955956796004e-01 -1.884537319099749419e-01
-3.868999999999999610e-03 -2.210509653910947558e-01 -1.684391945685649317e-01
-3.867999999999999911e-03 -2.223922324258494621e-01 -1.697961123544232398e-01
-3.866999999999999778e-03 -2.217215989084720951e-01 -1.687784240150295156e-01
-3.865999999999999645e-03 -2.197096983563400219e-01 -1.714922595867461319e-01
-3.864999999999999946e-03 -2.193743815976513523e-01 -1.680999651221003477e-01
-3.863999999999999813e-03 -2.227275491845381594e-01 -1.694568829079586558e-01
-3.862999999999999681e-03 -2.254100832540475996e-01 -1.714922595867461319e-01
-3.861999999999999982e-03 -2.213862821497834255e-01 -1.664038178897774556e-01
-3.860999999999999849e-03 -2.213862821497834255e-01 -1.711530301402815479e-01
-3.859999999999999716e-03 -2.230628659432268290e-01 -1.714922595867461319e-01
-3.859000000000000017e-03 -2.220569156671607924e-01 -1.687784240150295156e-01
-3.857999999999999884e-03 -2.213862821497834255e-01 -1.725099479261398561e-01
-3.856999999999999752e-03 -2.203803318737173889e-01 -1.694568829079586558e-01
-3.855999999999999619e-03 -2.210509653910947558e-01 -1.674215062291712075e-01
-3.854999999999999920e-03 -2.244041329779815630e-01 -1.701353418008878238e-01
-3.853999999999999787e-03 -2.257454000127362692e-01 -1.704745712473523800e-01
-3.852999999999999654e-03 -2.223922324258494621e-01 -1.704745712473523800e-01
-3.851999999999999955e-03 -2.217215989084720951e-01 -1.725099479261398561e-01
-3.850999999999999823e-03 -2.230628659432268290e-01 -1.694568829079586558e-01
-3.849999999999999690e-03 -2.223922324258494621e-01 -1.694568829079586558e-01
-3.848999999999999991e-03 -2.227275491845381594e-01 -1.711530301402815479e-01
-3.847999999999999858e-03 -2.233981827019154986e-01 -1.697961123544232398e-01
-3.846999999999999725e-03 -2.210509653910947558e-01 -1.701353418008878238e-01
-3.846000000000000026e-03 -2.193743815976513523e-01 -1.647076706574545912e-01
-3.844999999999999894e-03 -2.197096983563400219e-01 -1.731884068190689963e-01
-3.843999999999999761e-03 -2.227275491845381594e-01 -1.714922595867461319e-01
-3.842999999999999628e-03 -2.233981827019154986e-01 -1.657253589968483154e-01
-3.841999999999999929e-03 -2.233981827019154986e-01 -1.704745712473523800e-01
-3.840999999999999796e-03 -2.240688162192928656e-01 -1.694568829079586558e-01
-3.839999999999999664e-03 -2.217215989084720951e-01 -1.708138006938169640e-01
-3.838999999999999965e-03 -2.183684313215852879e-01 -1.674215062291712075e-01
-3.837999999999999832e-03 -2.230628659432268290e-01 -1.711530301402815479e-01
-3.836999999999999699e-03 -2.244041329779815630e-01 -1.701353418008878238e-01
-3.836000000000000000e-03 -2.200450151150286915e-01 -1.697961123544232398e-01
