# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.601064461318317808e+04,2.455921798150797919e+00,5.000885355673085481e-02,-1.594054722105084476e+00,1.914325770348497893e-02
1.615908753895919108e+04,2.489664944043796790e+00,4.006699651379156540e-02,-1.586399644400724007e+00,2.439184376720204134e-02
1.630890675549334264e+04,2.501601411741088743e+00,4.070203590248992753e-02,-1.601362262478559062e+00,2.249061329871981929e-02
1.646011502308549825e+04,2.557855480047461327e+00,4.965626346957798670e-02,-1.591548827407811562e+00,1.839473520318522445e-02
1.661272522034293070e+04,2.563792318880949939e+00,4.147755352068449586e-02,-1.593006135521529698e+00,2.174704098097838753e-02
1.676675034527701064e+04,2.596101679042643440e+00,7.175184977769168138e-02,-1.595918966821386231e+00,1.375538591057134767e-02
1.692220351641035450e+04,2.615559599059587903e+00,5.691774538232139552e-02,-1.595060157939948153e+00,2.943491623431433030e-02
1.707909797389426967e+04,2.621578693798065185e+00,6.946908772698491552e-02,-1.593381672262260684e+00,2.060398025012942849e-02
1.723744708063620055e+04,2.645350239817302107e+00,8.048983537328015248e-02,-1.597960528721247941e+00,1.261082368805138514e-02
1.739726432343802662e+04,2.719173774738420590e+00,5.439453273776301973e-02,-1.590366018351083488e+00,1.659835198143526022e-02
1.755856331414467058e+04,2.754289551893937205e+00,5.771930010716933707e-02,-1.595537710213304816e+00,2.683927128218360769e-02
1.772135779080358407e+04,2.773662939055268062e+00,8.027788614027428493e-02,-1.600676748531588034e+00,1.192390808791676804e-02
1.788566161883461973e+04,2.795468859350308755e+00,7.653013767673427781e-02,-1.608077252978198812e+00,2.490064303285627334e-02
1.805148879221110110e+04,2.864784523806414018e+00,2.404807716353474928e-02,-1.606783241259021722e+00,1.580489104558511007e-02
1.821885343465165352e+04,2.874778246992530928e+00,3.160286816115117497e-02,-1.616295904811440254e+00,2.531690782299281586e-02
1.838776980082326918e+04,2.889907529440595368e+00,8.091548817638964664e-02,-1.600163419485390648e+00,2.303794346857422973e-02
1.855825227755518790e+04,2.954772064522744657e+00,5.950002298982753207e-02,-1.615993470514118346e+00,2.113283329728888466e-02
1.873031538506438301e+04,2.935703138483876096e+00,6.623696442988535882e-02,-1.600413728827663862e+00,2.030587115680022522e-02
1.890397377819219400e+04,3.038620684626342161e+00,5.944359821208289318e-02,-1.608760583839160319e+00,1.744744083686904784e-02
1.907924224765265171e+04,3.059344097607428203e+00,4.560905219543068961e-02,-1.616944348279496069e+00,2.443583873973454237e-02
1.925613572129198656e+04,3.066760395053916177e+00,4.717488325095450796e-02,-1.609092414695461271e+00,2.164855121810151106e-02
1.943466926536022220e+04,3.116181837704666613e+00,6.280944966079160530e-02,-1.605484186826967585e+00,2.194245134029237584e-02
1.961485808579429431e+04,3.137285854495743820e+00,6.886018400053434130e-02,-1.611051104095543751e+00,1.734412228785842461e-02
1.979671752951332746e+04,3.192500831188829213e+00,9.528765152785043102e-02,-1.616037318974546055e+00,1.720357363835913617e-02
1.998026308572550624e+04,3.254114116764722731e+00,4.602703871628323340e-02,-1.615271239144290050e+00,1.997661016665890424e-02
2.016551038724748651e+04,3.232323234015834768e+00,4.503138209052286872e-02,-1.611117306396133486e+00,2.160507878298234194e-02
2.035247521183575736e+04,3.321582203774891440e+00,4.760979685714673837e-02,-1.617645025200761921e+00,2.131832740130770384e-02
2.054117348353064153e+04,3.349515061111866032e+00,8.505691201584736350e-02,-1.617036094886171282e+00,2.522482153244752501e-02
2.073162127401231191e+04,3.362088381776228374e+00,6.067574064948295931e-02,-1.604851466608090416e+00,1.925020152287785710e-02
2.092383480396979212e+04,3.481407664987353989e+00,2.680127587907304987e-02,-1.617093728395950336e+00,2.613695335766460723e-02
2.111783044448242072e+04,3.489591035511081518e+00,8.098039164149686830e-02,-1.621837623092555747e+00,1.294204092138847434e-02
2.131362471841437582e+04,3.541162222795753767e+00,8.158168949075317311e-02,-1.611285576739784231e+00,2.994119101394731447e-02
2.151123430182167067e+04,3.549190929674967521e+00,6.831559620978573666e-02,-1.618618859054453241e+00,2.530115943405195078e-02
2.171067602537267157e+04,3.587377416058028068e+00,8.445952952159416216e-02,-1.628711049095941776e+00,2.317138422116062080e-02
2.191196687578147248e+04,3.631250932094587824e+00,9.012582722845946526e-02,-1.639878010420597665e+00,1.301189660865755687e-02
2.211512399725488649e+04,3.691419002456655107e+00,6.755609077076550617e-02,-1.612440744546800087e+00,2.340385354059438400e-02
2.232016469295234492e+04,3.769492815816772868e+00,6.108014042682003569e-02,-1.625794157949404850e+00,1.198004892254965655e-02
2.252710642645982807e+04,3.710323881464556273e+00,4.859362129391996132e-02,-1.619586942216232117e+00,2.677996776070399459e-02
2.273596682327715098e+04,3.853766054144966091e+00,8.258088356414648723e-02,-1.639934347790833913e+00,2.205387792722624668e-02
2.294676367231936092e+04,3.911707380729874561e+00,6.189535277870539254e-02,-1.632565239186173134e+00,1.951729946441220498e-02
2.315951492743154449e+04,3.967780550059072375e+00,9.184963684025940212e-02,-1.641098913516903846e+00,2.398772368857514034e-02
2.337423870891817205e+04,4.037409315052643777e+00,4.696489374725602850e-02,-1.640179781975880768e+00,2.583329238553919854e-02
2.359095330508633924e+04,4.042738995844249672e+00,7.330431643127340025e-02,-1.627603440533643475e+00,2.772581492641142120e-02
2.380967717380358226e+04,4.106788828874955222e+00,9.333132399531296475e-02,-1.647402905642257664e+00,2.579431449497475090e-02
2.403042894406969572e+04,4.136693515058485815e+00,8.599322151933420921e-02,-1.640311738087360638e+00,1.739111743597488227e-02
2.425322741760355348e+04,4.221915812315382155e+00,8.185241278811057619e-02,-1.639671292273817027e+00,2.127336597852064887e-02
2.447809157044440144e+04,4.260334573140885261e+00,8.232077000937462752e-02,-1.642030662366948501e+00,1.882833548423109085e-02
2.470504055456825517e+04,4.342180968184321976e+00,9.163534228252630254e-02,-1.643840922249626191e+00,2.305040295404866754e-02
2.493409369951880581e+04,4.349024669019188494e+00,9.073848440467542631e-02,-1.643406398189296125e+00,1.860460034759236353e-02
2.516527051405388920e+04,4.422476882316500379e+00,1.024384033489622453e-01,-1.644719175559340218e+00,1.899148319723740000e-02
2.539859068780723828e+04,4.511767342820812488e+00,9.469014907106133860e-02,-1.645980519334776293e+00,1.593716527514203035e-02
2.563407409296515107e+04,4.586694822581685926e+00,9.234898936509704226e-02,-1.656621191853213215e+00,1.488793446478277847e-02
2.587174078595923856e+04,4.678515970757720410e+00,7.323135126059454603e-02,-1.651731371973464535e+00,2.267803198925401331e-02
2.611161100917462318e+04,4.747796597217030623e+00,1.075901332681413192e-01,-1.646245683536160742e+00,1.829046285130752139e-02
2.635370519267392956e+04,4.775897026055162087e+00,7.812247259833018931e-02,-1.660361358074471383e+00,2.228708149042397599e-02
2.659804395593758454e+04,4.855966461132488199e+00,1.001957045884959152e-01,-1.656043005727855233e+00,2.419977634980715470e-02
2.684464810961965122e+04,4.947600398096805741e+00,5.009519578797812928e-02,-1.645311357558384202e+00,1.822741760506516387e-02
2.709353865732048871e+04,5.015600931765769488e+00,9.207133194550067012e-02,-1.656814868716412814e+00,1.827472017699987780e-02
2.734473679737579732e+04,5.039497841903995301e+00,9.448469048022090089e-02,-1.660540196639474386e+00,1.224348686022049860e-02
2.759826392466180550e+04,5.171722454242859257e+00,7.948822474197790589e-02,-1.664468642905174267e+00,1.628509022088596089e-02
2.785414163241768983e+04,5.228890059529297751e+00,9.672559166123925745e-02,-1.666585158955797397e+00,2.022430295676818507e-02
2.811239171408461334e+04,5.347080100433625027e+00,8.336091897536994366e-02,-1.667578188018795871e+00,2.132313244955883966e-02
2.837303616516211332e+04,5.422633634412202142e+00,8.554265531011857882e-02,-1.662496571821026503e+00,1.276362313579734210e-02
2.863609718508115839e+04,5.489901259658831023e+00,1.274318542752536365e-01,-1.666532295184818491e+00,1.561031478925989022e-02
2.890159717909511528e+04,5.537276437654992556e+00,8.788534743794162996e-02,-1.661562496769204644e+00,2.103101505887789921e-02
2.916955876018793060e+04,5.674253012504151705e+00,5.896250099625485047e-02,-1.667630230397347812e+00,1.456781411011363013e-02
2.944000475100033873e+04,5.762233917885061452e+00,1.237255303170012727e-01,-1.664489367167691913e+00,2.033979887714285756e-02
2.971295818577334285e+04,5.852903202529232018e+00,7.315393183718570114e-02,-1.677692224247735453e+00,1.781606180021582872e-02
2.998844231231030790e+04,5.969696810877893611e+00,1.206057634487113506e-01,-1.675740789242138762e+00,1.543642330173261058e-02
3.026648059395689052e+04,6.055403797603820415e+00,1.053052301640686750e-01,-1.673781645169480470e+00,1.617213737754914435e-02
3.054709671159967911e+04,6.172493556814933058e+00,1.267290839068362651e-01,-1.677838407852555225e+00,2.516968840300749105e-02
3.083031456568276917e+04,6.237226023274599740e+00,9.293414538405808667e-02,-1.671399501980710856e+00,1.606851608285314939e-02
3.111615827824363078e+04,6.330157528633714392e+00,1.446744516613431841e-01,-1.674904548178830499e+00,2.247510386123804590e-02
3.140465219496748978e+04,6.450160367019154073e+00,9.044379474671529473e-02,-1.686251950835400137e+00,1.988948590619972132e-02
3.169582088726115035e+04,6.605653663940792342e+00,1.526242323295885217e-01,-1.673847815257059057e+00,2.146226242437208193e-02
3.198968915434537848e+04,6.680026786476298994e+00,8.291260877731951306e-02,-1.687325895278764865e+00,1.949809180070670098e-02
3.228628202536733443e+04,6.934656760385948360e+00,1.174619710150904967e-01,-1.684828192834398219e+00,1.389087373279773371e-02
3.258562476153223179e+04,7.021663905152858653e+00,1.159039563960269220e-01,-1.695851770898093580e+00,1.831106898306991346e-02
3.288774285825510015e+04,7.233391981290763439e+00,8.846624627628819904e-02,-1.698239913567250570e+00,2.289100262603834327e-02
3.319266204733189807e+04,7.298448364823805434e+00,1.422063872980478261e-01,-1.697818349211707822e+00,1.585347248812004131e-02
3.350040829913136258e+04,7.394234833443000809e+00,8.922430114021505376e-02,-1.713184042775571125e+00,2.069133529270205177e-02
3.381100782480681664e+04,7.523824212864008487e+00,1.562783758063969186e-01,-1.705745142917743706e+00,2.286152526936086754e-02
3.412448707852889493e+04,7.695277342940149090e+00,1.273688029566808211e-01,-1.695834001053752260e+00,1.647988065226132365e-02
3.444087275973823125e+04,7.914851039708016067e+00,1.137191068844895236e-01,-1.709315161862842158e+00,1.972004819844552087e-02
3.476019181541981379e+04,8.099554178383304048e+00,1.311216731330686336e-01,-1.708009184415022919e+00,1.123688955493437266e-02
3.508247144239788759e+04,8.251604711675472714e+00,1.345478968562263677e-01,-1.716902256114605008e+00,9.666186188320316161e-03
3.540773908965269948e+04,8.428402448301994809e+00,1.188562309887244289e-01,-1.715202151631267213e+00,1.590859903448869905e-02
3.573602246065788495e+04,8.683714680144564824e+00,1.268067664738924682e-01,-1.723562567126983414e+00,9.604310399029663062e-03
3.606734951574031584e+04,8.830491400866964824e+00,1.720388638134539849e-01,-1.721966421000541869e+00,1.720490199481627611e-02
3.640174847446137574e+04,8.944806113588867902e+00,1.723515896194118269e-01,-1.719906999568299399e+00,1.792271708574221661e-02
3.673924781802073994e+04,9.160944513674543543e+00,1.614456604150430463e-01,-1.732914766991446642e+00,1.349897455339385717e-02
3.707987629168172134e+04,9.376410184751492238e+00,1.494201866935783163e-01,-1.737822840229746202e+00,1.211614688531455208e-02
3.742366290721976839e+04,9.616386026555224120e+00,1.220338867664598342e-01,-1.736623918380753029e+00,1.638673935463191497e-02
3.777063694539364224e+04,9.843394763506617906e+00,1.776361864400739232e-01,-1.746631318384853415e+00,1.551777067278452965e-02
3.812082795843888016e+04,1.005198329919208966e+01,2.219201614096167896e-01,-1.749682055607539866e+00,1.672464205542974897e-02
3.847426577258505858e+04,1.029987336098273865e+01,1.329560229877988220e-01,-1.744086430109885288e+00,1.598901441397925990e-02
3.883098049059609184e+04,1.052446438772799731e+01,6.497386502990611101e-02,-1.750990549325756263e+00,1.401786645187853148e-02
3.919100249433401768e+04,1.112160756611997670e+01,5.663503683180509674e-01,-1.762565157322309561e+00,2.494667647636662766e-02
3.955436244734701904e+04,1.128529264769442264e+01,3.970008769136429971e-01,-1.776556455630100118e+00,1.703853310572848653e-02
3.992109129748053238e+04,1.156135899540211120e+01,1.103474709263403408e-01,-1.763479707226786486e+00,2.001432124091684361e-02
4.029122027951343625e+04,1.177231853801650985e+01,2.387879697627871833e-01,-1.774689678806518955e+00,1.370033820108609336e-02
4.066478091781854164e+04,1.224940924612928228e+01,1.395248059920563555e-01,-1.779346685785428761e+00,1.746755493090612968e-02
4.104180502904709283e+04,1.250382149174908264e+01,2.337271683627005214e-01,-1.793540196982795765e+00,2.173278397295253656e-02
4.142232472483898164e+04,1.299302086458056671e+01,3.618666359372565422e-01,-1.799824896233068072e+00,1.572854708073248564e-02
4.180637241455761978e+04,1.362129724882741755e+01,1.100036719013436221e-01,-1.801066411668438061e+00,1.963732464680035747e-02
4.219398080805024074e+04,1.390699522387850173e+01,1.813293826988623125e-01,-1.813646834466541735e+00,1.559055435968078815e-02
4.258518291843414772e+04,1.446487706574350796e+01,2.383682000328248007e-01,-1.816321638587493181e+00,1.404242225190106830e-02
4.298001206490798359e+04,1.488156109327827359e+01,2.605409914441458863e-01,-1.831336184913727294e+00,1.485995431641283157e-02
4.337850187558984180e+04,1.607735996741421758e+01,8.335288484790792651e-01,-1.845043406406612352e+00,4.031879005760610757e-02
4.378068629038166546e+04,1.646380838827937509e+01,3.584087886915113819e-01,-1.845798672416623987e+00,2.141665042223664731e-02
4.418659956385941041e+04,1.719997536447551667e+01,3.544180456848388117e-01,-1.849935293582043228e+00,1.515410769163499753e-02
4.459627626819095894e+04,1.826517958189550583e+01,4.362454831044212944e-01,-1.881849648353244531e+00,1.394102058710101899e-02
4.500975129608051066e+04,1.896739755855203668e+01,2.599220782462721147e-01,-1.891227565306780267e+00,2.154206453979246386e-02
4.542705986374042550e+04,2.037936741288860532e+01,5.276133938057971928e-01,-1.904818263098437825e+00,1.189325779003053488e-02
4.584823751389096287e+04,2.174150305758507429e+01,3.380489895503229758e-01,-1.926235396432008029e+00,2.481544627438271935e-02
4.627332011878693447e+04,2.389572216995084020e+01,7.417625864668997426e-01,-1.970886634456838538e+00,1.725916169112502729e-02
4.670234388327330817e+04,2.687230767786557450e+01,5.399202388368212757e-01,-2.020658611243868030e+00,2.206389791636623535e-02
4.713534534786907170e+04,4.642099140238235577e+01,4.372223201873624565e-01,2.730962967673831621e+00,2.028449017550270489e-02
4.757236139187889785e+04,4.529900296376276003e+01,4.014339065496876358e-01,2.670099513608254149e+00,2.033632242370289958e-02
4.801342923653455364e+04,4.427583971114393080e+01,7.881321765576231320e-01,2.597822285046976098e+00,2.634024172746187928e-02
4.845858644816490414e+04,4.378640201685136901e+01,1.017455183400943763e+00,2.539611087497769315e+00,2.223287753040590828e-02
4.890787094139590045e+04,4.320202091643841413e+01,6.858489734898968182e-01,2.505513405762964219e+00,1.731349654694674250e-02
4.936132098237916944e+04,4.247368448813500663e+01,5.038111171909446240e-01,2.441727575186713572e+00,2.055933886071664371e-02
4.981897519205165008e+04,4.145399406622061633e+01,7.147356350200134711e-01,2.399027872837044661e+00,2.302520156818840813e-02
5.028087254942474829e+04,4.068843073267784405e+01,5.741809434750653196e-01,2.344629652299128786e+00,1.719354716541690239e-02
5.074705239490466192e+04,3.971363968233686847e+01,4.198758878889564117e-01,2.317109938992056417e+00,1.797744803277944239e-02
5.121755443364241364e+04,3.907630033710314166e+01,6.184630728767162022e-01,2.268687125715747488e+00,1.938133777769683597e-02
5.169241873891603609e+04,3.811581858524031929e+01,5.198499099556086467e-01,2.243127681128122219e+00,1.706595543599703779e-02
5.217168575554343988e+04,3.761830938786246747e+01,5.536271938729985242e-01,2.208991678951886861e+00,2.093286260259232673e-02
5.265539630332755769e+04,3.648565480039561493e+01,3.769624385047073423e-01,2.180909351366282056e+00,2.106041101816087668e-02
5.314359158053241117e+04,3.571861995069412643e+01,5.638476692216523034e-01,2.136203897891986170e+00,1.511735899525108034e-02
5.363631316739245813e+04,3.462596105654368017e+01,9.516777738945232379e-01,2.114415906456824423e+00,2.258926726596231088e-02
5.413360302965375740e+04,3.358014976507216431e+01,8.054658046808513827e-01,2.073584300260562951e+00,1.709197077097542039e-02
5.463550352214875602e+04,3.305151695633900033e+01,4.869540348066915270e-01,2.056260890073254632e+00,1.697073130787385767e-02
5.514205739240301773e+04,3.227485275930918363e+01,3.172680903283880971e-01,2.012553234795669166e+00,2.218716363674562084e-02
5.565330778427651967e+04,3.135159223969050757e+01,3.258194897616623620e-01,2.003471104887116105e+00,1.697394403200692264e-02
5.616929824163804005e+04,3.051025644384841229e+01,4.901169220827499839e-01,1.974590209780228589e+00,1.896371616502618568e-02
5.669007271207433951e+04,2.928364045445587038e+01,2.749109881317328141e-01,1.946229260737705191e+00,1.795894958565985230e-02
5.721567555063252075e+04,2.878167925852451958e+01,4.827560757812128789e-01,1.919820103607514650e+00,1.850878699940139774e-02
5.774615152359825879e+04,2.801223069785232411e+01,6.150157451011278864e-01,1.912809926336286992e+00,1.788070184958324288e-02
5.828154581230839540e+04,2.724017179946195455e+01,4.048610660124380978e-01,1.891497144347396020e+00,1.607246566591655559e-02
5.882190401699955692e+04,2.623032816865141825e+01,3.816490773861042074e-01,1.867011427546794611e+00,2.013809761374156862e-02
5.936727216069126007e+04,2.540681847075499888e+01,3.462604299618065040e-01,1.849891357104989087e+00,2.198267996574262972e-02
5.991769669310612517e+04,2.431809906985527192e+01,6.981256160279003531e-01,1.838532289834028388e+00,2.203934200477876762e-02
6.047322449462642544e+04,2.374042004634680225e+01,6.260913413801907357e-01,1.808355441747571790e+00,2.136129169901113817e-02
6.103390288028620853e+04,2.296936500024670735e+01,3.045348389462786964e-01,1.797165427986589181e+00,2.090212367983538405e-02
6.159977960380168952e+04,2.224624102955537097e+01,3.238971321372324241e-01,1.776361056232391489e+00,2.057430714611305222e-02
6.217090286163833662e+04,2.159695188199742333e+01,3.891099215640109188e-01,1.769042908552270088e+00,1.786763929524509339e-02
6.274732129711574817e+04,2.082192130682311415e+01,3.399552609717155782e-01,1.756279169552060537e+00,1.788617637514058542e-02
6.332908400455114315e+04,2.022617713922905125e+01,3.818648185249048921e-01,1.741513804265898191e+00,1.829808843632223583e-02
6.391624053344005370e+04,1.962125570258437079e+01,3.808271941409356875e-01,1.729059939826075309e+00,1.804343376445878902e-02
6.450884089267686068e+04,1.898301455068125421e+01,4.852027486494741026e-01,1.707889323977885399e+00,2.836929467884872352e-02
6.510693555481454678e+04,1.848793862864688364e+01,4.215827368446189993e-01,1.709804385424938289e+00,2.628382095982615893e-02
6.571057546036269923e+04,1.763042309811073238e+01,2.367807500303552026e-01,1.689833962500429054e+00,2.176333321405910654e-02
6.631981202212675998e+04,1.726939529408412710e+01,3.049395245502690699e-01,1.694515614948364446e+00,2.468245105331454831e-02
6.693469712958668242e+04,1.653084463652296776e+01,4.691427015280674184e-01,1.678093240278621279e+00,1.555429995566889705e-02
6.755528315331639897e+04,1.607896242291857192e+01,4.457672480251472225e-01,1.674247053578979516e+00,2.512817879696786078e-02
6.818162294944479072e+04,1.559768557006471568e+01,3.869957420037637430e-01,1.661151729391876497e+00,2.721707267271985045e-02
6.881376986415669671e+04,1.520541534783235171e+01,4.076312465798583307e-01,1.650048286799943753e+00,3.096011178016364052e-02
6.945177773823689495e+04,1.478718902913457711e+01,5.294687811743981065e-01,1.644954362413542981e+00,2.629396066265396459e-02
7.009570091165618214e+04,1.428919099287992900e+01,2.515854371387652444e-01,1.634777662110277419e+00,2.071530130692587207e-02
7.074559422819878091e+04,1.397853181955107971e+01,2.923194175493402103e-01,1.630685435628811408e+00,2.884983016663019220e-02
7.140151304013402842e+04,1.345151395645192238e+01,1.904730918972215026e-01,1.601801986098885688e+00,3.535748265242372179e-02
7.206351321293060028e+04,1.312409919804856884e+01,2.612717925772111149e-01,1.608942128364913682e+00,3.190898501102100437e-02
7.273165113001453574e+04,1.279450820720154347e+01,3.470968013578024647e-01,1.591411732285501923e+00,2.348708279195113255e-02
7.340598369757211185e+04,1.248094389596167986e+01,2.737157336837800492e-01,1.588019026922342203e+00,3.506123439877645298e-02
7.408656834939567489e+04,1.215288155550843463e+01,3.084890377791882354e-01,1.599822854605117417e+00,2.763582201856858156e-02
7.477346305177580507e+04,1.168690254951183505e+01,2.130715954801180312e-01,1.584791465720922776e+00,2.838269900867146020e-02
7.546672630843886873e+04,1.134305769140131659e+01,2.882830347304871088e-01,1.583723548055399721e+00,2.965874267610804985e-02
7.616641716552892467e+04,1.127126270873774772e+01,1.993387820034105695e-01,1.575674315422288085e+00,2.651858519164070754e-02
7.687259521663736086e+04,1.083434763467839446e+01,1.977689123939804505e-01,1.574758059536571553e+00,3.522063278378088219e-02
7.758532060787828232e+04,1.083896788337511552e+01,3.367726881396493899e-01,1.556942306931726971e+00,2.993143605618340392e-02
7.830465404301183298e+04,1.053237612352586972e+01,3.360670877809627255e-01,1.552011060319262725e+00,2.073694961428475952e-02
7.903065678861347260e+04,1.014978477764656795e+01,3.112390274692461434e-01,1.534751856771822576e+00,2.691652755995103258e-02
7.976339067929281737e+04,9.954662568735297867e+00,1.321214160759890122e-01,1.537827854039099051e+00,2.706604614212759427e-02
8.050291812295973068e+04,9.881835206740914757e+00,2.527269281081656049e-01,1.544955501266515929e+00,2.538333696564541719e-02
