# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.772135779080359130e+00,9.839448255205212490e+01,3.061313919807689965e-01,2.977385736136032524e+00,1.977594871497380391e-03
1.805148879221109004e+00,9.839247938786289183e+01,2.251171972720708570e-01,2.975597576470869310e+00,2.623228163726866718e-03
1.838776980082327484e+00,9.842499979596715320e+01,3.628135671643482607e-01,2.974718420403655639e+00,2.826885026009713382e-03
1.873031538506437332e+00,9.826115181529146980e+01,2.098762074505485797e-01,2.968333507663886373e+00,2.246281233201106575e-03
1.907924224765265686e+00,9.834197732470634890e+01,2.695259908548693351e-01,2.965995792825611765e+00,2.935848650858483011e-03
1.943466926536020711e+00,9.824975991120622609e+01,2.379945324923316563e-01,2.962376088201262192e+00,2.859221882005538382e-03
1.979671752951333019e+00,9.818289467104006008e+01,2.435986717501077981e-01,2.959453880473856824e+00,2.885699438669897966e-03
2.016551038724747169e+00,9.802957971715950691e+01,2.325525495364074158e-01,2.956776269261967904e+00,2.614922771148910346e-03
2.054117348353064809e+00,9.803132848456296244e+01,3.036314504621903110e-01,2.953118244692485295e+00,1.516444322349385721e-03
2.092383480396977635e+00,9.801388059242412965e+01,2.675859895704408298e-01,2.949425057096559666e+00,3.362662688880308035e-03
2.131362471841438122e+00,9.802408359018225781e+01,2.991598119828450808e-01,2.945117013844718024e+00,3.212769571742760209e-03
2.171067602537265273e+00,9.777299642807105329e+01,2.912571997502410581e-01,2.943068654407344553e+00,2.397765301117161640e-03
2.211512399725489075e+00,9.772969855759575353e+01,3.223916937985253361e-01,2.939209342259272884e+00,2.933065664502571782e-03
2.252710642645980865e+00,9.769693019792293853e+01,2.820066399913475075e-01,2.935561591960772709e+00,2.246863751695435049e-03
2.294676367231936354e+00,9.763559002244255680e+01,2.936579286133302324e-01,2.930483847670440234e+00,2.197471956475533211e-03
2.337423870891815358e+00,9.748013296289913399e+01,2.041939521797383472e-01,2.929364295726992307e+00,4.411946330021688720e-03
2.380967717380358728e+00,9.741513350383712577e+01,1.660318042016672435e-01,2.923251499336161796e+00,3.347356641787379433e-03
2.425322741760353118e+00,9.719727808725204454e+01,2.846456842833576251e-01,2.920529150801340457e+00,3.240747742277552777e-03
