# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
2.084999999999999964e+00	4.437434328205472215e-04	9.896832321579198995e-08	-4.842161550493312975e-08	1.804371717405061477e-09
2.100000000000000089e+00	4.628686199558710505e-04	1.129956931719163344e-07	-5.171452634268497111e-08	2.749186574023061894e-09
2.115000000000000213e+00	4.818957623817664748e-04	1.046155015934458991e-07	-5.547122743927510846e-08	4.771943709375433710e-09
2.129999999999999893e+00	5.009523760071554624e-04	8.576143325756436761e-08	-4.963409575303893869e-08	5.318003336614638055e-09
2.145000000000000018e+00	5.203231564715971253e-04	6.175326093162558570e-08	-3.841037148915235557e-08	4.156736613532698821e-09
2.160000000000000142e+00	5.395986852487846559e-04	1.064994251915612650e-07	-4.911067531806430065e-08	3.218505677503537967e-09
2.174999999999999822e+00	5.591225040661539471e-04	1.027641568841416754e-07	-4.400235689571686093e-08	3.377409260326413985e-09
2.189999999999999947e+00	5.785985525732330933e-04	7.887615269206565549e-08	-3.754242114761212547e-08	5.743913188216174890e-09
2.205000000000000071e+00	5.980037161037512214e-04	1.184685762652421709e-07	-2.814735561857365712e-08	1.508260916819150247e-09
2.219999999999999751e+00	6.177329665175942171e-04	9.420211229683930298e-08	-3.878802927134924362e-08	2.674583096213994995e-09
2.234999999999999876e+00	6.373002216453300603e-04	9.932713250998035515e-08	-2.401962231491288827e-08	1.017142100473421513e-08
2.250000000000000000e+00	6.571213528575970764e-04	8.781114898782839046e-08	-2.262825153839802013e-08	1.936397301284951484e-09
2.265000000000000124e+00	6.768882609152386889e-04	8.123752165264828140e-08	-2.142239686541847105e-08	4.080722325379669970e-09
2.280000000000000249e+00	6.967746910597177445e-04	1.140878572628441898e-07	-1.710914745822238645e-08	3.117278528726698632e-09
2.294999999999999929e+00	7.165920661387151095e-04	1.011976809042119936e-07	-1.308079778145553863e-08	4.800989299514413720e-09
2.310000000000000053e+00	7.365609385928905111e-04	6.340252578839420577e-08	-1.514135164572279479e-08	6.284468898220484666e-09
2.325000000000000178e+00	7.564495838928871323e-04	8.994949758699550988e-08	-1.316693025809693831e-08	6.891099809242549572e-09
2.339999999999999858e+00	7.765114928787979079e-04	9.316704842175756188e-08	-6.925638489158824501e-09	4.081262852420841366e-09
2.354999999999999982e+00	7.965729203091617260e-04	6.621005270802562779e-08	-6.157071774512518751e-09	2.807411065375654992e-09
2.370000000000000107e+00	8.165651000518261982e-04	9.589745580484944700e-08	-1.704685289664950019e-09	3.038026690093776269e-09
2.384999999999999787e+00	8.366958714809994910e-04	8.719772973149607233e-08	1.740613775990907587e-09	4.158425989833710439e-09
2.399999999999999911e+00	8.569133229086855217e-04	7.231601601317058376e-08	4.688994707177170523e-09	5.812087282653543517e-09
2.415000000000000036e+00	8.770177050938677416e-04	1.042899235383003582e-07	5.477438147202261640e-09	7.929871010771852764e-09
2.429999999999999716e+00	8.971615748339274721e-04	9.494573190212948803e-08	1.357389095149352469e-08	6.891222436070702070e-09
2.444999999999999840e+00	9.173720918617325878e-04	9.183169591342879288e-08	1.021472436247906489e-08	4.921261609200842156e-09
2.459999999999999964e+00	9.376387582663518044e-04	1.014270076942565108e-07	1.113567930502938048e-08	4.744712158987161545e-09
2.475000000000000089e+00	9.579586847145009918e-04	1.376972195583354181e-07	1.809253318760370793e-08	2.005552944839483281e-09
2.490000000000000213e+00	9.782796705848540060e-04	1.244759706198093242e-07	2.526140547421839388e-08	3.639968204997316999e-09
2.504999999999999893e+00	9.987289428530045973e-04	9.234937265028716646e-08	1.598560029745262284e-08	4.940198271692183963e-09
2.520000000000000018e+00	1.019089608900454729e-03	9.998067359592781193e-08	1.619761870149298134e-08	6.687471994251499734e-09
2.535000000000000142e+00	1.039507965302470397e-03	1.199677522403043916e-07	2.593721413709704175e-08	5.808031836548971236e-09
2.549999999999999822e+00	1.059982085836860734e-03	1.386733160864099819e-07	3.257604041361083311e-08	3.809538614215739093e-09
2.564999999999999947e+00	1.080379639039232790e-03	1.236760466053217559e-07	3.433181782207006297e-08	6.755718545131100626e-09
2.580000000000000071e+00	1.100853663262515167e-03	1.458375372229155401e-07	2.962103390729831073e-08	9.735135672912612015e-09
2.594999999999999751e+00	1.121302646597337107e-03	1.334566366270258321e-07	3.941363394391245663e-08	5.054562635450173423e-09
2.609999999999999876e+00	1.141807490375645580e-03	8.411985645029740080e-08	4.568805358848187635e-08	5.292934731139208050e-09
2.625000000000000000e+00	1.162420587840984603e-03	9.385348366531174796e-08	4.312395601461876504e-08	6.611160414674820449e-09
2.639999999999999680e+00	1.182837692198576620e-03	1.086819769096650373e-07	4.804013275830462584e-08	4.775422053427368553e-09
2.655000000000000249e+00	1.203412072597914067e-03	1.350347013760546154e-07	5.167757350262205927e-08	6.568094066020255760e-09
2.669999999999999929e+00	1.223934733931471676e-03	1.342769612405803554e-07	4.850392301714290861e-08	7.961253686974498488e-09
2.685000000000000053e+00	1.244429946598834495e-03	1.088761417112317252e-07	5.774660031827737373e-08	5.862310594005812095e-09
2.700000000000000178e+00	1.265096304107703922e-03	1.503242882040172845e-07	5.572579990476768996e-08	6.664235201584173973e-09
2.714999999999999858e+00	1.285637264552058493e-03	1.277884022585691238e-07	6.410715243948819477e-08	8.066080577267670674e-09
2.729999999999999982e+00	1.306329337127153187e-03	1.009188780869166309e-07	6.561778356827574698e-08	5.422309721869425349e-09
2.745000000000000107e+00	1.326933670281531426e-03	8.141656091935269881e-08	7.048758128607778546e-08	6.388248494412187006e-09
2.759999999999999787e+00	1.347569111924264195e-03	1.123412017891182220e-07	8.420914737256487468e-08	6.214339153169301991e-09
2.774999999999999911e+00	1.368314829787326990e-03	1.003999547865824468e-07	8.057170662824742802e-08	9.253112034897368162e-09
2.790000000000000036e+00	1.389051783339429001e-03	1.130310069271175269e-07	8.762794413771567651e-08	6.269266441082740199e-09
2.804999999999999716e+00	1.409790277869282012e-03	7.366090625192294117e-08	8.245999553923190137e-08	9.197718272680529134e-09
2.819999999999999840e+00	1.430559688265271249e-03	8.322617403963577135e-08	9.783795540728429278e-08	6.473363216276621774e-09
2.834999999999999964e+00	1.451413659815364594e-03	1.075871397309015774e-07	1.000310207740767660e-07	9.782808072686070036e-09
2.849999999999999645e+00	1.472055746924649843e-03	5.297294883660356018e-08	9.924920290917793718e-08	3.598007576443410026e-09
2.865000000000000213e+00	1.492852702297944650e-03	9.497752666617818439e-08	1.014952728769805157e-07	1.047216845755337428e-08
2.879999999999999893e+00	1.513664778515423420e-03	9.069244433624707769e-08	1.032179224098084099e-07	1.074630398122880528e-08
2.895000000000000018e+00	1.534510467310103588e-03	8.570858153458921971e-08	1.057157642324089358e-07	1.081131964412297288e-08
2.910000000000000142e+00	1.555316090683249268e-03	7.071744457582753587e-08	1.062259335171310409e-07	6.955568086673072310e-09
2.924999999999999822e+00	1.576044761479936801e-03	1.067625047603541883e-07	1.152565924142251442e-07	1.110371870706772996e-08
2.939999999999999947e+00	1.596874462630447052e-03	1.304857907483720588e-07	1.213786238308905640e-07	4.519904999206816941e-09
2.955000000000000071e+00	1.617678930270278993e-03	6.019008999164468888e-08	1.260960333207885629e-07	4.235012476323918909e-09
2.969999999999999751e+00	1.638579227464020960e-03	1.043686526032124037e-07	1.317807767791207460e-07	6.072806773237468415e-09
2.984999999999999876e+00	1.659448512480518308e-03	7.477464534545385323e-08	1.299653691945251675e-07	4.751218817581340199e-09
3.000000000000000000e+00	1.680243445320514072e-03	9.055195915531276785e-08	1.367035790979328766e-07	5.242689111758907945e-09
