# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
1.925000000000000044e+00	1.536664966916216450e-04	4.225706039975393415e-07	-8.012499248409327421e-08	4.475150538157369702e-09
1.949999999999999956e+00	1.797385505797378946e-04	4.395856964740287925e-07	-7.504980193737714371e-08	4.383758095927653754e-09
1.975000000000000089e+00	2.068107953395743447e-04	4.186624486407200248e-07	-6.158663328081423862e-08	4.652911260379399666e-09
2.000000000000000000e+00	2.350391586573436756e-04	4.502543491601047897e-07	-5.669695883763344373e-08	6.368285884187528220e-09
2.024999999999999911e+00	2.638922921421666323e-04	4.579457698122364094e-07	-4.824272497652407055e-08	3.623762600861533741e-09
2.049999999999999822e+00	2.935744716572031535e-04	4.677315193404197601e-07	-3.779419300241005966e-08	6.591594860231135895e-09
2.075000000000000178e+00	3.236565348987095465e-04	5.059096299404708319e-07	-2.860452030228568333e-08	4.664482531700225811e-09
2.100000000000000089e+00	3.541737317327463340e-04	4.694519775377760134e-07	-2.962485887172991997e-08	4.801227026795452861e-09
2.125000000000000000e+00	3.852053262023976766e-04	4.456869460292688018e-07	-9.131955006203827326e-09	6.028694509393438200e-09
2.149999999999999911e+00	4.166070442656960799e-04	4.791700657822481016e-07	-2.625640232215265402e-09	6.150111372634243593e-09
2.174999999999999822e+00	4.483382426344498066e-04	4.781884022594017185e-07	-5.319584923167056133e-10	2.837506493571532139e-09
2.200000000000000178e+00	4.803298662431782504e-04	5.235736820991689085e-07	8.054786871317894314e-09	2.646906897503172441e-09
2.225000000000000089e+00	5.125247062928625077e-04	5.390572803952463163e-07	1.738359664909375084e-08	3.832329675697108570e-09
2.250000000000000000e+00	5.451125919802443870e-04	5.140600617925708943e-07	3.639237168633732574e-08	8.734282364236230477e-09
2.274999999999999911e+00	5.776390311797921636e-04	4.689307560657717845e-07	3.523289603924159567e-08	5.056761601772745156e-09
2.299999999999999822e+00	6.106093682828316613e-04	4.812319680835266275e-07	5.110777404176359230e-08	4.849036143988083620e-09
2.325000000000000178e+00	6.436589694289550486e-04	5.308497988953960675e-07	7.254150957521878506e-08	5.806196794464770262e-09
2.350000000000000089e+00	6.769587868374500866e-04	4.885530333297847155e-07	7.148804313014323259e-08	4.302883854775930671e-09
2.375000000000000000e+00	7.104887877975492056e-04	4.584047477546218013e-07	8.173118227534315146e-08	4.873712895510961757e-09
2.399999999999999911e+00	7.439744856472977697e-04	4.781471460892451385e-07	9.635382657900178000e-08	4.606323597519649904e-09
2.424999999999999822e+00	7.775352098513142653e-04	4.823293776184614986e-07	1.082666106560195274e-07	5.953703246395015811e-09
2.450000000000000178e+00	8.112964537852224850e-04	4.972740310822194928e-07	1.147331719792504996e-07	3.524927392443202328e-09
2.475000000000000089e+00	8.451176032292130472e-04	5.314934705589265927e-07	1.313302376705349829e-07	6.650188143654276069e-09
2.500000000000000000e+00	8.789698611615584653e-04	5.146188367263861780e-07	1.341991117002061404e-07	4.244333807100814028e-09
2.525000000000000355e+00	9.130484502011306782e-04	5.218088670132576585e-07	1.444157485449009801e-07	6.442118960850693635e-09
2.549999999999999822e+00	9.470595251529715514e-04	5.292316146584444099e-07	1.528368545303790573e-07	6.490823725388968941e-09
2.575000000000000178e+00	9.812004274803629543e-04	5.386177678556229080e-07	1.714547206351731847e-07	4.673508523623735521e-09
2.600000000000000089e+00	1.015520083226907795e-03	5.023156303504865543e-07	1.892510154243109705e-07	4.421825646516011709e-09
2.625000000000000000e+00	1.049820091507122546e-03	5.146972965985192590e-07	1.921000127286033385e-07	2.615222856025316417e-09
2.650000000000000355e+00	1.084367715649755311e-03	5.282828659543758244e-07	2.041784361837775724e-07	6.551621829459093620e-09
2.674999999999999822e+00	1.118852930193457674e-03	5.561231472894642586e-07	2.158990785821337806e-07	5.607098222229926456e-09
2.700000000000000178e+00	1.153390537980706005e-03	5.127097375080034991e-07	2.298989188239238302e-07	6.933335932126263454e-09
2.725000000000000089e+00	1.187969752167239825e-03	5.307866020448857175e-07	2.372798095145788813e-07	2.747078026177940121e-09
2.750000000000000000e+00	1.222691314173552334e-03	4.865622570544892246e-07	2.525517601806110885e-07	5.166748635471347767e-09
2.775000000000000355e+00	1.257243657560548015e-03	5.102189855289660895e-07	2.532143176932371935e-07	2.735407828592217405e-09
2.799999999999999822e+00	1.292040823787784457e-03	5.144022473834109446e-07	2.689235563176026639e-07	5.477305292353794430e-09
2.825000000000000178e+00	1.326835678548395157e-03	4.906004299863136256e-07	2.824198528497968186e-07	3.325774735771103023e-09
2.850000000000000089e+00	1.361591430998565500e-03	4.648079462812166903e-07	2.905560591048456590e-07	5.155355279878473866e-09
2.875000000000000000e+00	1.396453896158014957e-03	5.085201179083240438e-07	3.024357153062321303e-07	2.015400414861569026e-09
2.900000000000000355e+00	1.431247498874202656e-03	5.289436118961906565e-07	3.177407938478956533e-07	6.760362974904232469e-09
2.924999999999999822e+00	1.466144539721946560e-03	5.007886527455869413e-07	3.296270756244083348e-07	3.490530685309642647e-09
2.950000000000000178e+00	1.501084246391182165e-03	4.659114749146387969e-07	3.472246031597582785e-07	4.263152163407119940e-09
2.975000000000000089e+00	1.536089926170395616e-03	4.758947058943330961e-07	3.495833079047072250e-07	3.406135291593595601e-09
3.000000000000000000e+00	1.571196347370102265e-03	4.868767021513098666e-07	3.590910082108921176e-07	4.072519578767694970e-09
3.025000000000000355e+00	1.606300264480963347e-03	4.718578836226412552e-07	3.762843756635401669e-07	4.497504132740619172e-09
3.049999999999999822e+00	1.641501263190156589e-03	4.811937053424241624e-07	3.849506279286899019e-07	3.789814493227172482e-09
3.075000000000000178e+00	1.676640911722626723e-03	4.511020265023613709e-07	4.003153366464896876e-07	2.012545028524005417e-09
3.100000000000000089e+00	1.711887658208813235e-03	4.540669556775769728e-07	4.168925256123954211e-07	3.906469098204923955e-09
3.125000000000000000e+00	1.747058222607418511e-03	4.939640289022153547e-07	4.210268844911824201e-07	4.303100642924364413e-09
3.150000000000000355e+00	1.782295819538207409e-03	4.912394707089220877e-07	4.334962168788061015e-07	5.548874667933917079e-09
3.174999999999999822e+00	1.817527156246880439e-03	4.887219682319667920e-07	4.440838859305715727e-07	3.966716943483856588e-09
3.200000000000000178e+00	1.852785363755093343e-03	4.992638606041530373e-07	4.557780260284227812e-07	5.192202449372034541e-09
