# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
2.784141833174042624e+00,5.413720935786298614e-03,1.325079221176018841e-05,1.172307133266139744e-05
2.795549444584306542e+00,5.196898518326608339e-03,1.299005383301221005e-05,1.118713855860065172e-05
2.802822258331306493e+00,5.297162785153879637e-03,1.607524701144826023e-05,1.129729196446848322e-05
2.810058154242025985e+00,4.482439565802906652e-03,2.082335067955128874e-05,1.048155069588408145e-05
2.817404803661582413e+00,4.876509400876378325e-03,2.299565220960152434e-05,1.112094686802149164e-05
2.824677617408579700e+00,4.498525834586489074e-03,3.069222144272704003e-05,1.028000817073732570e-05
2.833242555425349973e+00,5.060572248444366802e-03,3.118016339811849786e-05,1.112453490869901559e-05
2.839333998411413429e+00,5.479780984139181674e-03,3.648525238529679851e-05,1.152510568849448796e-05
2.845536194906315153e+00,4.378150317449229154e-03,4.093040009197765805e-05,1.094489466004832802e-05
2.853325858361222434e+00,5.201354988403901307e-03,4.491776037630754230e-05,1.113779428190381742e-05
2.857239149006815193e+00,5.239732259022540813e-03,5.428394499883741701e-05,1.068286589928405662e-05
2.864548880590092050e+00,5.406667224731003321e-03,5.908432875092853759e-05,1.156237969983413241e-05
2.867465389656147501e+00,5.001242807079100960e-03,6.761068061014109307e-05,1.157208768970700087e-05
2.873298407788257069e+00,4.775119120244083332e-03,7.431459853142654952e-05,1.186760586639884451e-05
2.876288752526871217e+00,4.968158750438747898e-03,8.455547068038540674e-05,1.131149189313225166e-05
2.882084852822701659e+00,5.441343421471286218e-03,9.238609257334884090e-05,1.133623714715240595e-05
2.884853690543640159e+00,6.049345432701556252e-03,1.013440907825768200e-04,1.203392119724901055e-05
2.888323967153883398e+00,5.336894305627120846e-03,1.096459057760058739e-04,1.046986796761323477e-05
2.894267738794829903e+00,5.335872694916091001e-03,1.167767780599623462e-04,1.108347230721953090e-05
2.897110412188327100e+00,4.201178397806203633e-03,1.253044704869891762e-04,1.017631626503363262e-05
2.899620825055311713e+00,5.478039673207579612e-03,1.374307791396793869e-04,1.177823866940884304e-05
2.902131237922295881e+00,4.980762052139250939e-03,1.499324323549606716e-04,1.062202128477610392e-05
2.904383225935326607e+00,4.869237286453428036e-03,1.585244699762785724e-04,1.036136858886046392e-05
2.904973911315793078e+00,5.178771122001983584e-03,1.733666659820162184e-04,1.147169250251861531e-05
2.908702612779988872e+00,5.829044606444338562e-03,1.830579259348701516e-04,1.199152116110745659e-05
2.912135971553952540e+00,5.048708145436616584e-03,1.936660992395494382e-04,1.060747288276086955e-05
2.912837410443257280e+00,5.390004096760017856e-03,2.075947333129905630e-04,1.087352933698922676e-05
2.916196933544661363e+00,4.677651569633910905e-03,2.169709721941140900e-04,1.085919134175204410e-05
2.917747482668387793e+00,4.664521498471213556e-03,2.293828114873546419e-04,1.105465000917374725e-05
2.920294813371651088e+00,5.019739797817616284e-03,2.395781063913869679e-04,1.156356510852821544e-05
2.922694472729797877e+00,4.684639226814012875e-03,2.522426324137820564e-04,1.057008196347965245e-05
2.924097350508406468e+00,4.989237624270206374e-03,2.630485332886881044e-04,1.145619644270604697e-05
2.925980160158646370e+00,4.729807374057760395e-03,2.747572715533895689e-04,1.147243019241604891e-05
2.928712080043304411e+00,4.866437425784559019e-03,2.864505932882566272e-04,1.109431006523007893e-05
2.929930368640517369e+00,4.968433075209072007e-03,3.025682901107567819e-04,1.039129601292144762e-05
2.929967286476796495e+00,4.723175115370612832e-03,3.164017479909092372e-04,9.744183116638213042e-06
2.932366945834941951e+00,4.532030935191285782e-03,3.256881729499907304e-04,1.013148265576351442e-05
2.932736124197734107e+00,4.957998063586836236e-03,3.404807700073649371e-04,1.092963777044742561e-05
2.934360508994017014e+00,3.958996881618670645e-03,3.516043730896286257e-04,1.064249157409616227e-05
2.934249755485180078e+00,4.041786567043969408e-03,3.644217197212281170e-04,9.965875903402770196e-06
2.937240100223793338e+00,4.896869533245066901e-03,3.774508657637196530e-04,1.055994941477034788e-05
2.938126128294494599e+00,4.330259189899236458e-03,3.876763234435205490e-04,1.035560602353272776e-05
2.939381334727985795e+00,4.429832694182703375e-03,3.997718010972203437e-04,1.010122764520825847e-05
2.939787430927056189e+00,5.110954108254811383e-03,4.135985561383131830e-04,1.092916788680796449e-05
2.941485651395899126e+00,4.805562288902876650e-03,4.264366795103185994e-04,1.095099443068316613e-05
2.941633322741016965e+00,4.161083990723086351e-03,4.411796776193279844e-04,9.620327594708754786e-06
2.943405378882417267e+00,4.086389254413967491e-03,4.523542202177641895e-04,1.059034700568726835e-05
2.943626885900091583e+00,4.664229299297920420e-03,4.702594962150850248e-04,1.082972039168587371e-05
2.944845174497304097e+00,4.284059998894871983e-03,4.823556441526877453e-04,1.035847287133111827e-05
2.947097162510334378e+00,4.891021192648017935e-03,4.942185415337275187e-04,1.156909018379459777e-05
2.948167779762430385e+00,4.229630600661112710e-03,5.065318532141485901e-04,1.043775449951638225e-05
2.947650930054523055e+00,5.434827140336787044e-03,5.222520881658434004e-04,1.147797707284209887e-05
2.949053807833131202e+00,4.856063904856263574e-03,5.356317803270844785e-04,1.021572212872400998e-05
